ID,Faculty Contributor,Faculty Co-Authors/Editors,Co-Authors,Title,Publication Type,Contribution,Date,Year,Status,Serial Title,Publisher,Publication Title,Editor(s),Citation,Italics,Volume,Issue,Pages,Edition,ISBN,ISSN,Abstract,Source Link(s),Stanford Link,DOI,PURL,SSRN,In ORCID,Corrected,Designation
500784,"Ablavsky, Gregory",,,Speculation Nation: Land Mania in the Revolutionary American Republic,Book Review,Writer,2024-12,2024,Published,American History Review,Oxford University Press,,,"Gregory Ablavsky, Speculation Nation: Land Mania in the Revolutionary American Republic, 129 Aᴍ. Hɪꜱᴛ. Rᴇᴠ. 1837 (2024) (book review).",checked,129,,1837,,,,,,https://law.stanford.edu/publications/speculation-nation-land-mania-in-the-revolutionary-american-republic/,,,,,checked,Faculty
513224,"Ablavsky, Gregory",,Felix S. Cohen,Cohen's Handbook of Federal Indian Law,"Book, Whole",Editor,2024-10,2024,Published,,LexisNexis,,Bethany R. Berger; Maggie Blackhawk,"Fᴇʟɪx S. Cᴏʜᴇɴ, Cᴏʜᴇɴ'ꜱ Hᴀɴᴅʙᴏᴏᴋ ᴏꜰ Fᴇᴅᴇʀᴀʟ Iɴᴅɪᴀɴᴀ Lᴀᴡ (Gregory Ablavsky, Bethany R. Berger & Maggie Blackhawk eds., 2024).",checked,,,,2024,,,,https://store.lexisnexis.com/en-us/products/cohens-handbook-of-federal-indian-law-grpussku57318.html?gad_source=1&gad_campaignid=13449778207&gbraid=0AAAAADtOJyMoXA_Eh8cSbmtBAE-EIzl7a&gclid=CjwKCAjw6P3GBhBVEiwAJPjmLiHYAJ8xxjulXLbDw0HLEZdimy0T4OsppwOsksOuobNXyVC5-bC7rhoCvnoQAvD_BwE,https://law.stanford.edu/publications/cohens-handbook-of-federal-indian-law/,,,,,checked,Faculty
493786,"Ablavsky, Gregory",,,The Original Meaning of Commerce in the Indian Commerce Clause,Journal Article,Writer,2024,2024,Published,Connecticut Law Review,University of Connecticut School of Law,,,"Gregory Ablavsky, The Original Meaning of Commerce in the Indian Commerce Clause, 56 Cᴏɴɴ. L. Rᴇᴠ. 1013 (2024).",checked,56,,1013,,,,"In Haaland v. Brackeen, the Supreme Court returned to the foundational question of federal authority over relations between the United States and Native nations, long known as ""Indian affairs."" The decision reaffirmed well-established precedent affirming broad federal authority in the area, but it also underscored ongoing disagreement, as Justices Gorsuch and Thomas offered lengthy and dueling investigations of the original understanding.

This Essay explores one aspect of that history: the original meaning of ""commerce"" in the Indian Commerce Clause. Nearly a decade ago, I wrote an article that sought, as its title indicated, to move ""beyond the Indian Commerce Clause."" The Clause, I argued, was only one small component in how the early American political elite understood federal authority in this area. Consequently, that article addressed the Clause itself only briefly. In this Essay, in the wake of the contention in Brackeen, I draw on both the Corpus of Founding Era American English and early American documents of law and governance to investigate the original meaning of ""Commerce . . . with the Indian tribes.""

Ultimately, this Essay concludes that ""commerce"" was a widely and commonly used synonym for both ""trade"" with Indians and ""intercourse"" with Indians, a broader term that conveyed quotidian interactions between Native peoples and Anglo-Americans. The use of intercourse as a synonym for commerce was particularly frequent in documents dealing with governance in the early republic, with George Washington, Thomas Jefferson, members of the First Congress, and early caselaw all deploying the term that way. The historical evidence does not support either the claim that ""commerce"" was routinely used as a synonym for ""Indian affairs,"" or that the term exclusively referred to trade and purportedly ""economic"" interactions.",,https://law.stanford.edu/publications/the-original-meaning-of-commerce-in-the-indian-commerce-clause/,,,,,checked,Faculty
437598,"Ablavsky, Gregory",,,Clarence Thomas Went After My Work. His Criticisms Reveal a Disturbing Fact About Originalism.,Op-Ed or Opinion Piece,Writer,2023-06-20,2023,Published,Slate,Graham Holdings,,,"Gregory Ablavsky, Clarence Thomas Went After My Work. His Criticisms Reveal a Disturbing Fact About Originalism, Sʟᴀᴛᴇ (June 20, 2023), https://slate.com/news-and-politics/2023/06/clarence-thomas-indian-law-originalism-history.html.",checked,,,,,,,"If judges are going to use history as their guide, they should probably try to get the history right.

When, a decade ago, I was a graduate student toiling away on my dissertation, I could not have imagined that Justice Clarence Thomas would one day devote a lengthy footnote in a Supreme Court opinion to arguing why my obscure historical research was wrong. But that is what happened in the court's recent decision in Haaland v. Brackeen. By a 7–2 vote, the court upheld the Indian Child Welfare Act (ICWA)—a critical federal law that provides procedural protections for Native children when their parents are unable to care for them—against a long-standing campaign begun by right-wing think tanks to overturn it.",https://slate.com/news-and-politics/2023/06/clarence-thomas-indian-law-originalism-history.html,https://law.stanford.edu/publications/clarence-thomas-went-after-my-work-his-criticisms-reveal-a-disturbing-fact-about-originalism/,,,,,checked,Faculty
407547,"Ablavsky, Gregory",,,Akhil Amar's Unusable Past,Book Review,Writer,2023,2023,Published,Michigan Law Review,University of Michigan Law School,,,"Gregory Ablavsky, Akhil Amar's Unusable Past, 121 Mɪᴄʜ. L. Rᴇᴠ. 1119 (2023) (book review).",checked,121,,1119,,,,,,https://law.stanford.edu/publications/akhil-amars-unusable-past/,,,,,checked,Faculty
448989,"Ablavsky, Gregory",,,"Book Review, Creek Internationalism in an Age of Revolution",Book Review,Writer,2023-10,2023,Published,Journal of the Early Republic,"The University of North Carolina Press,University of Pennsylvania Press",,,"Gregory Ablavsky, Creek Internationalism in an Age of Revolution, 43 J. Eᴀʀʟʏ Rᴇᴘᴜʙʟɪᴄ 500 (2023) (book review).",checked,43,,500,,,,,,https://law.stanford.edu/publications/book-review-creek-internationalism-in-an-age-of-revolution/,,,,,checked,Faculty
448242,"Ablavsky, Gregory",,,Too Much History: Castro-Huerta and the Problem of Change in Indian Law,Journal Article,Writer,2023,2023,Published,Supreme Court Review,University of Chicago Press,,,"Gregory Ablavsky, Too Much History: Castro-Huerta and the Problem of Change in Indian Law, 2022 Sᴜᴘ. Cᴛ. Rᴇᴠ. 293.",checked,2022,,293,,,,,,https://law.stanford.edu/publications/too-much-history-castro-huerta-and-the-problem-of-change-in-indian-law/,,,,,checked,Faculty
407545,"Ablavsky, Gregory",,W. Tanner Allread,We the (Native) People?: How Indigenous Peoples Debated the U.S. Constitution,Journal Article,Writer,2023-03,2023,Published,Columbia Law Review,Columbia Law School,,,"Gregory Ablavsky & W. Tanner Allread, We the (Native) People?: How Indigenous Peoples Debated the U.S. Constitution, 123 Cᴏʟᴜᴍ. L. Rᴇᴠ. 243 (2023).",checked,123,,243,,,,,https://columbialawreview.org/content/we-the-native-people-how-indigenous-peoples-debated-the-u-s-constitution/,https://law.stanford.edu/publications/we-the-native-people-how-indigenous-peoples-debated-the-u-s-constitution/,,,,,checked,Faculty
384455,"Ablavsky, Gregory",,,Getting Public Rights Wrong: The Lost History of the Private Land Claims,Journal Article,Writer,2022-03,2022,Published,Stanford Law Review,Stanford Law School,,,"Gregory Ablavsky, Getting Public Rights Wrong: The Lost History of the Private Land Claims, 74 Sᴛᴀɴ. L. Rᴇᴠ. 277 (2022).",checked,74,2,277,,,,,https://www.stanfordlawreview.org/print/article/getting-public-rights-wrong/,https://law.stanford.edu/publications/getting-public-rights-wrong-the-lost-history-of-the-private-land-claims/,,,,,checked,Faculty
407549,"Ablavsky, Gregory",,,Oklahoma's Bizarro Nineteenth Century in Castro-Huerta,Blog Postings,Writer,2022-04-26,2022,Published,Legal Aggregate,Stanford Law School,,,"Gregory Ablavsky, Oklahoma's Bizarro Nineteenth Century in Castro-Huerta, Sᴛᴀɴ. Lᴀᴡ. Mᴀɢ.: Lᴇɢᴀʟ Aɢɢʀᴇɢᴀᴛᴇ Bʟᴏɢ (Apr. 26, 2022), https://law.stanford.edu/2022/04/26/oklahomas-bizarro-nineteenth-century-in-castro-huerta/.",checked,,,,,,,,https://law.stanford.edu/2022/04/26/oklahomas-bizarro-nineteenth-century-in-castro-huerta/,https://law.stanford.edu/publications/oklahomas-bizarro-nineteenth-century-in-castro-huerta/,,,,,checked,Faculty
